"INCDATE","month","V20061","offense_code","offense_category"
2022-08-20,2022-08-01,351,351,"Drug/Weapons Violation"
2022-09-20,2022-09-01,240,240,"Theft/Fraud/Burglary"
2022-07-25,2022-07-01,238,238,"Theft/Fraud/Burglary"
2022-01-20,2022-01-01,133,133,"Intimidation"
2022-04-20,2022-04-01,133,133,"Intimidation"
2022-10-20,2022-10-01,132,132,"Assault"
2022-06-20,2022-06-01,233,233,"Theft/Fraud/Burglary"
2022-06-13,2022-06-01,233,233,"Theft/Fraud/Burglary"
2022-07-24,2022-07-01,132,132,"Assault"
2021-10-20,2021-10-01,234,234,"Theft/Fraud/Burglary"
2021-11-28,2021-11-01,133,133,"Intimidation"
2021-07-28,2021-07-01,351,351,"Drug/Weapons Violation"
2021-02-28,2021-02-01,132,132,"Assault"
2021-05-15,2021-05-01,131,131,"Assault"
2021-08-18,2021-08-01,261,261,"Theft/Fraud/Burglary"
2021-07-20,2021-07-01,133,133,"Intimidation"
2021-09-20,2021-09-01,131,131,"Assault"
2021-05-20,2021-05-01,131,131,"Assault"
2021-07-20,2021-07-01,133,133,"Intimidation"
2021-07-20,2021-07-01,133,133,"Intimidation"
2021-09-24,2021-09-01,132,132,"Assault"
2021-06-18,2021-06-01,290,290,"Vandalism"
2021-11-20,2021-11-01,266,266,"Theft/Fraud/Burglary"
2021-01-20,2021-01-01,131,131,"Assault"
2021-11-30,2021-11-01,132,132,"Assault"
2021-02-20,2021-02-01,133,133,"Intimidation"
2021-10-20,2021-10-01,290,290,"Vandalism"
2021-11-24,2021-11-01,131,131,"Assault"
2021-12-20,2021-12-01,133,133,"Intimidation"
2021-09-26,2021-09-01,132,132,"Assault"
2021-03-20,2021-03-01,132,132,"Assault"
2021-08-20,2021-08-01,132,132,"Assault"
2021-12-24,2021-12-01,264,264,"Theft/Fraud/Burglary"
2021-05-18,2021-05-01,132,132,"Assault"
2021-08-25,2021-08-01,236,236,"Theft/Fraud/Burglary"
2021-10-20,2021-10-01,200,200,"Theft/Fraud/Burglary"
2021-08-30,2021-08-01,133,133,"Intimidation"
2021-11-20,2021-11-01,133,133,"Intimidation"
2021-07-20,2021-07-01,133,133,"Intimidation"
2021-08-29,2021-08-01,133,133,"Intimidation"
2021-09-23,2021-09-01,133,133,"Intimidation"
2021-09-20,2021-09-01,133,133,"Intimidation"
2021-12-30,2021-12-01,133,133,"Intimidation"
2021-09-20,2021-09-01,131,131,"Assault"
2021-09-18,2021-09-01,133,133,"Intimidation"
2021-06-13,2021-06-01,132,132,"Assault"
2021-03-20,2021-03-01,290,290,"Vandalism"
2021-07-20,2021-07-01,290,290,"Vandalism"
2021-09-20,2021-09-01,133,133,"Intimidation"
2021-12-20,2021-12-01,290,290,"Vandalism"
2021-10-19,2021-10-01,133,133,"Intimidation"
2021-07-14,2021-07-01,131,131,"Assault"
2021-05-18,2021-05-01,133,133,"Intimidation"
2021-12-17,2021-12-01,132,132,"Assault"
2021-06-23,2021-06-01,290,290,"Vandalism"
2021-02-25,2021-02-01,133,133,"Intimidation"
2021-09-21,2021-09-01,132,132,"Assault"
2021-04-28,2021-04-01,132,132,"Assault"
2021-10-20,2021-10-01,236,236,"Theft/Fraud/Burglary"
2021-07-25,2021-07-01,132,132,"Assault"
2021-12-24,2021-12-01,132,132,"Assault"
2021-03-20,2021-03-01,520,520,"Drug/Weapons Violation"
2021-04-20,2021-04-01,133,133,"Intimidation"
2021-04-23,2021-04-01,351,351,"Drug/Weapons Violation"
2021-12-20,2021-12-01,132,132,"Assault"
2021-01-18,2021-01-01,370,370,"Other"
2021-05-24,2021-05-01,133,133,"Intimidation"
2021-02-14,2021-02-01,132,132,"Assault"
2021-06-16,2021-06-01,133,133,"Intimidation"
2021-11-30,2021-11-01,520,520,"Drug/Weapons Violation"
2021-10-17,2021-10-01,240,240,"Theft/Fraud/Burglary"
2021-07-31,2021-07-01,131,131,"Assault"
2021-05-29,2021-05-01,132,132,"Assault"
2021-03-24,2021-03-01,131,131,"Assault"
2021-05-16,2021-05-01,131,131,"Assault"
2021-09-20,2021-09-01,290,290,"Vandalism"
2021-10-20,2021-10-01,132,132,"Assault"
2021-09-28,2021-09-01,290,290,"Vandalism"
2021-02-14,2021-02-01,133,133,"Intimidation"
2021-08-20,2021-08-01,133,133,"Intimidation"
2021-05-23,2021-05-01,234,234,"Theft/Fraud/Burglary"
2021-09-17,2021-09-01,133,133,"Intimidation"
2021-10-27,2021-10-01,131,131,"Assault"
2021-05-17,2021-05-01,132,132,"Assault"
2021-05-20,2021-05-01,132,132,"Assault"
2021-09-15,2021-09-01,132,132,"Assault"
2021-10-20,2021-10-01,133,133,"Intimidation"
2021-08-25,2021-08-01,131,131,"Assault"
2021-03-24,2021-03-01,114,114,"Sexual Offense"
2021-08-15,2021-08-01,236,236,"Theft/Fraud/Burglary"
2021-07-21,2021-07-01,131,131,"Assault"
2021-08-22,2021-08-01,131,131,"Assault"
2021-04-19,2021-04-01,290,290,"Vandalism"
2021-01-30,2021-01-01,132,132,"Assault"
2021-02-20,2021-02-01,132,132,"Assault"
2021-10-15,2021-10-01,132,132,"Assault"
2021-06-20,2021-06-01,132,132,"Assault"
2021-01-14,2021-01-01,132,132,"Assault"
2021-04-20,2021-04-01,131,131,"Assault"
2021-07-13,2021-07-01,133,133,"Intimidation"
2021-11-27,2021-11-01,132,132,"Assault"
2021-02-22,2021-02-01,133,133,"Intimidation"
2021-07-20,2021-07-01,133,133,"Intimidation"
2021-08-20,2021-08-01,133,133,"Intimidation"
2021-03-20,2021-03-01,132,132,"Assault"
2021-03-20,2021-03-01,133,133,"Intimidation"
2021-03-20,2021-03-01,133,133,"Intimidation"
2021-01-22,2021-01-01,133,133,"Intimidation"
2021-01-13,2021-01-01,133,133,"Intimidation"
2021-07-21,2021-07-01,240,240,"Theft/Fraud/Burglary"
2021-05-18,2021-05-01,133,133,"Intimidation"
2021-09-21,2021-09-01,132,132,"Assault"
2021-09-20,2021-09-01,133,133,"Intimidation"
2021-07-19,2021-07-01,133,133,"Intimidation"
2021-09-20,2021-09-01,133,133,"Intimidation"
2021-09-20,2021-09-01,133,133,"Intimidation"
2021-08-20,2021-08-01,131,131,"Assault"
2021-01-20,2021-01-01,132,132,"Assault"
2021-10-20,2021-10-01,131,131,"Assault"
2021-08-20,2021-08-01,132,132,"Assault"
2021-10-20,2021-10-01,351,351,"Drug/Weapons Violation"
2021-02-28,2021-02-01,233,233,"Theft/Fraud/Burglary"
2021-04-20,2021-04-01,133,133,"Intimidation"
2021-05-21,2021-05-01,133,133,"Intimidation"
2021-05-31,2021-05-01,133,133,"Intimidation"
2021-05-18,2021-05-01,236,236,"Theft/Fraud/Burglary"
2021-11-20,2021-11-01,132,132,"Assault"
2021-06-20,2021-06-01,351,351,"Drug/Weapons Violation"
2021-09-23,2021-09-01,351,351,"Drug/Weapons Violation"
2021-02-15,2021-02-01,131,131,"Assault"
2021-01-20,2021-01-01,133,133,"Intimidation"
2021-03-30,2021-03-01,280,280,"Theft/Fraud/Burglary"
2021-05-20,2021-05-01,266,266,"Theft/Fraud/Burglary"
2021-11-20,2021-11-01,351,351,"Drug/Weapons Violation"
2021-03-21,2021-03-01,210,210,"Theft/Fraud/Burglary"
2021-08-21,2021-08-01,238,238,"Theft/Fraud/Burglary"
2021-10-21,2021-10-01,290,290,"Vandalism"
2021-05-28,2021-05-01,290,290,"Vandalism"
2021-01-24,2021-01-01,370,370,"Other"
2021-09-24,2021-09-01,238,238,"Theft/Fraud/Burglary"
2021-08-23,2021-08-01,133,133,"Intimidation"
2021-06-19,2021-06-01,132,132,"Assault"
2021-09-25,2021-09-01,236,236,"Theft/Fraud/Burglary"
2021-12-20,2021-12-01,233,233,"Theft/Fraud/Burglary"
2021-09-20,2021-09-01,238,238,"Theft/Fraud/Burglary"
2021-06-20,2021-06-01,290,290,"Vandalism"
2021-11-20,2021-11-01,240,240,"Theft/Fraud/Burglary"
2021-01-22,2021-01-01,236,236,"Theft/Fraud/Burglary"
2021-04-20,2021-04-01,100,100,"Theft/Fraud/Burglary"
2021-05-20,2021-05-01,520,520,"Drug/Weapons Violation"
2021-02-20,2021-02-01,233,233,"Theft/Fraud/Burglary"
2021-06-20,2021-06-01,351,351,"Drug/Weapons Violation"
2021-07-20,2021-07-01,238,238,"Theft/Fraud/Burglary"
2021-04-20,2021-04-01,238,238,"Theft/Fraud/Burglary"
2021-01-30,2021-01-01,220,220,"Theft/Fraud/Burglary"
2021-08-30,2021-08-01,133,133,"Intimidation"
2021-12-30,2021-12-01,290,290,"Vandalism"
2021-11-19,2021-11-01,132,132,"Assault"
2021-11-19,2021-11-01,131,131,"Assault"
2021-06-17,2021-06-01,131,131,"Assault"
2021-11-18,2021-11-01,131,131,"Assault"
2021-05-14,2021-05-01,133,133,"Intimidation"
2021-09-20,2021-09-01,351,351,"Drug/Weapons Violation"
2021-04-20,2021-04-01,290,290,"Vandalism"
2021-08-20,2021-08-01,133,133,"Intimidation"
2021-10-20,2021-10-01,131,131,"Assault"
2021-11-20,2021-11-01,290,290,"Vandalism"
2021-01-29,2021-01-01,351,351,"Drug/Weapons Violation"
2021-12-20,2021-12-01,236,236,"Theft/Fraud/Burglary"
2021-06-19,2021-06-01,352,352,"Drug/Weapons Violation"
2021-01-25,2021-01-01,240,240,"Theft/Fraud/Burglary"
2021-08-20,2021-08-01,133,133,"Intimidation"
2021-05-26,2021-05-01,237,237,"Theft/Fraud/Burglary"
2021-04-20,2021-04-01,370,370,"Other"
2021-05-14,2021-05-01,92,92,"Other"
2021-03-24,2021-03-01,263,263,"Theft/Fraud/Burglary"
2021-08-20,2021-08-01,238,238,"Theft/Fraud/Burglary"
2021-09-20,2021-09-01,238,238,"Theft/Fraud/Burglary"
2021-12-30,2021-12-01,132,132,"Assault"
2021-02-20,2021-02-01,520,520,"Drug/Weapons Violation"
2021-04-29,2021-04-01,133,133,"Intimidation"
2021-01-28,2021-01-01,220,220,"Theft/Fraud/Burglary"
2021-03-20,2021-03-01,132,132,"Assault"
2021-04-18,2021-04-01,290,290,"Vandalism"
2021-06-22,2021-06-01,351,351,"Drug/Weapons Violation"
2021-12-20,2021-12-01,238,238,"Theft/Fraud/Burglary"
2021-10-20,2021-10-01,352,352,"Drug/Weapons Violation"
2021-03-20,2021-03-01,132,132,"Assault"
2021-11-15,2021-11-01,132,132,"Assault"
2021-11-20,2021-11-01,220,220,"Theft/Fraud/Burglary"
2021-05-20,2021-05-01,132,132,"Assault"
2021-03-28,2021-03-01,132,132,"Assault"
2021-03-31,2021-03-01,290,290,"Vandalism"
2021-10-21,2021-10-01,132,132,"Assault"
2021-06-13,2021-06-01,133,133,"Intimidation"
2021-05-27,2021-05-01,131,131,"Assault"
2021-04-14,2021-04-01,132,132,"Assault"
2021-02-16,2021-02-01,802,802,"Other"
2021-03-20,2021-03-01,131,131,"Assault"
2021-07-20,2021-07-01,351,351,"Drug/Weapons Violation"
2021-07-20,2021-07-01,220,220,"Theft/Fraud/Burglary"
2021-01-20,2021-01-01,238,238,"Theft/Fraud/Burglary"
2021-01-20,2021-01-01,234,234,"Theft/Fraud/Burglary"
2021-03-20,2021-03-01,133,133,"Intimidation"
2021-08-14,2021-08-01,200,200,"Theft/Fraud/Burglary"
2021-09-20,2021-09-01,132,132,"Assault"
2021-06-26,2021-06-01,131,131,"Assault"
2021-09-21,2021-09-01,250,250,"Theft/Fraud/Burglary"
2021-07-20,2021-07-01,240,240,"Theft/Fraud/Burglary"
2021-05-23,2021-05-01,237,237,"Theft/Fraud/Burglary"
2021-08-20,2021-08-01,131,131,"Assault"
2021-11-16,2021-11-01,290,290,"Vandalism"
2021-07-20,2021-07-01,238,238,"Theft/Fraud/Burglary"
2021-03-20,2021-03-01,133,133,"Intimidation"
2021-06-22,2021-06-01,132,132,"Assault"
2021-06-20,2021-06-01,131,131,"Assault"
2021-11-26,2021-11-01,131,131,"Assault"
2021-01-20,2021-01-01,290,290,"Vandalism"
2021-08-19,2021-08-01,351,351,"Drug/Weapons Violation"
2021-04-14,2021-04-01,232,232,"Theft/Fraud/Burglary"
2021-12-28,2021-12-01,131,131,"Assault"
2021-02-14,2021-02-01,132,132,"Assault"
2021-12-20,2021-12-01,133,133,"Intimidation"
2020-07-27,2020-07-01,132,132,"Assault"
2020-08-31,2020-08-01,290,290,"Vandalism"
2020-10-18,2020-10-01,132,132,"Assault"
2020-04-20,2020-04-01,220,220,"Theft/Fraud/Burglary"
2020-02-20,2020-02-01,220,220,"Theft/Fraud/Burglary"
2020-11-17,2020-11-01,133,133,"Intimidation"
2020-05-29,2020-05-01,238,238,"Theft/Fraud/Burglary"
2020-01-20,2020-01-01,290,290,"Vandalism"
2020-04-30,2020-04-01,290,290,"Vandalism"
2020-05-30,2020-05-01,234,234,"Theft/Fraud/Burglary"
2020-04-27,2020-04-01,132,132,"Assault"
2020-03-20,2020-03-01,131,131,"Assault"
2020-08-29,2020-08-01,238,238,"Theft/Fraud/Burglary"
2020-06-18,2020-06-01,290,290,"Vandalism"
2020-03-20,2020-03-01,133,133,"Intimidation"
2020-09-14,2020-09-01,133,133,"Intimidation"
2020-05-15,2020-05-01,132,132,"Assault"
2020-09-20,2020-09-01,351,351,"Drug/Weapons Violation"
2020-08-30,2020-08-01,520,520,"Drug/Weapons Violation"
2020-02-20,2020-02-01,133,133,"Intimidation"
2020-05-23,2020-05-01,132,132,"Assault"
2020-01-20,2020-01-01,132,132,"Assault"
2020-08-21,2020-08-01,290,290,"Vandalism"
2020-04-20,2020-04-01,132,132,"Assault"
2020-01-22,2020-01-01,131,131,"Assault"
2020-06-19,2020-06-01,290,290,"Vandalism"
2020-07-24,2020-07-01,131,131,"Assault"
2020-01-20,2020-01-01,133,133,"Intimidation"
2020-06-21,2020-06-01,133,133,"Intimidation"
2020-02-29,2020-02-01,133,133,"Intimidation"
2020-05-26,2020-05-01,132,132,"Assault"
2020-11-20,2020-11-01,290,290,"Vandalism"
2020-05-14,2020-05-01,132,132,"Assault"
2020-10-22,2020-10-01,520,520,"Drug/Weapons Violation"
2020-07-20,2020-07-01,290,290,"Vandalism"
2020-07-20,2020-07-01,133,133,"Intimidation"
2020-10-27,2020-10-01,520,520,"Drug/Weapons Violation"
2020-02-20,2020-02-01,132,132,"Assault"
2020-01-20,2020-01-01,290,290,"Vandalism"
2020-09-26,2020-09-01,132,132,"Assault"
2020-10-20,2020-10-01,133,133,"Intimidation"
2020-06-21,2020-06-01,132,132,"Assault"
2020-08-15,2020-08-01,132,132,"Assault"
2020-12-20,2020-12-01,720,720,"Other"
2020-02-20,2020-02-01,111,111,"Sexual Offense"
2020-11-15,2020-11-01,132,132,"Assault"
2020-07-20,2020-07-01,133,133,"Intimidation"
2020-10-16,2020-10-01,133,133,"Intimidation"
2020-02-29,2020-02-01,233,233,"Theft/Fraud/Burglary"
2020-12-20,2020-12-01,261,261,"Theft/Fraud/Burglary"
2020-07-26,2020-07-01,132,132,"Assault"
2020-12-26,2020-12-01,133,133,"Intimidation"
2020-07-20,2020-07-01,131,131,"Assault"
2020-09-20,2020-09-01,133,133,"Intimidation"
2020-11-20,2020-11-01,132,132,"Assault"
2020-08-22,2020-08-01,132,132,"Assault"
2020-07-20,2020-07-01,290,290,"Vandalism"
2020-08-28,2020-08-01,290,290,"Vandalism"
2020-10-31,2020-10-01,92,92,"Other"
2020-07-20,2020-07-01,238,238,"Theft/Fraud/Burglary"
2020-08-22,2020-08-01,237,237,"Theft/Fraud/Burglary"
2020-03-20,2020-03-01,132,132,"Assault"
2020-06-21,2020-06-01,132,132,"Assault"
2020-05-27,2020-05-01,114,114,"Sexual Offense"
2020-02-20,2020-02-01,120,120,"Theft/Fraud/Burglary"
2020-11-20,2020-11-01,290,290,"Vandalism"
2020-10-18,2020-10-01,250,250,"Theft/Fraud/Burglary"
2020-08-14,2020-08-01,351,351,"Drug/Weapons Violation"
2020-08-28,2020-08-01,290,290,"Vandalism"
2020-04-20,2020-04-01,132,132,"Assault"
2020-06-20,2020-06-01,132,132,"Assault"
2020-05-27,2020-05-01,132,132,"Assault"
2020-02-20,2020-02-01,220,220,"Theft/Fraud/Burglary"
2020-02-29,2020-02-01,520,520,"Drug/Weapons Violation"
2020-02-16,2020-02-01,352,352,"Drug/Weapons Violation"
2020-03-29,2020-03-01,132,132,"Assault"
2020-01-20,2020-01-01,266,266,"Theft/Fraud/Burglary"
2020-02-20,2020-02-01,133,133,"Intimidation"
2020-01-15,2020-01-01,351,351,"Drug/Weapons Violation"
2020-10-17,2020-10-01,236,236,"Theft/Fraud/Burglary"
2020-12-20,2020-12-01,290,290,"Vandalism"
2020-06-19,2020-06-01,265,265,"Theft/Fraud/Burglary"
2020-04-15,2020-04-01,238,238,"Theft/Fraud/Burglary"
2020-04-20,2020-04-01,236,236,"Theft/Fraud/Burglary"
2020-07-25,2020-07-01,290,290,"Vandalism"
2020-08-17,2020-08-01,290,290,"Vandalism"
2020-06-20,2020-06-01,290,290,"Vandalism"
2020-09-15,2020-09-01,290,290,"Vandalism"
2020-10-20,2020-10-01,132,132,"Assault"
2020-03-21,2020-03-01,133,133,"Intimidation"
2020-07-20,2020-07-01,200,200,"Theft/Fraud/Burglary"
2020-01-20,2020-01-01,131,131,"Assault"
2020-05-24,2020-05-01,133,133,"Intimidation"
2020-10-29,2020-10-01,133,133,"Intimidation"
2020-02-20,2020-02-01,133,133,"Intimidation"
2020-12-20,2020-12-01,133,133,"Intimidation"
2020-08-20,2020-08-01,290,290,"Vandalism"
2020-06-20,2020-06-01,290,290,"Vandalism"
2020-06-20,2020-06-01,131,131,"Assault"
2020-06-25,2020-06-01,133,133,"Intimidation"
2020-03-19,2020-03-01,133,133,"Intimidation"
2020-01-23,2020-01-01,133,133,"Intimidation"
2020-03-20,2020-03-01,290,290,"Vandalism"
2020-08-21,2020-08-01,133,133,"Intimidation"
2020-12-21,2020-12-01,290,290,"Vandalism"
2020-07-20,2020-07-01,132,132,"Assault"
2020-02-20,2020-02-01,133,133,"Intimidation"
2020-06-28,2020-06-01,131,131,"Assault"
2020-08-21,2020-08-01,132,132,"Assault"
2020-12-20,2020-12-01,114,114,"Sexual Offense"
2020-12-18,2020-12-01,132,132,"Assault"
2020-12-20,2020-12-01,290,290,"Vandalism"
2020-11-27,2020-11-01,290,290,"Vandalism"
2020-10-20,2020-10-01,290,290,"Vandalism"
2020-12-28,2020-12-01,132,132,"Assault"
2020-09-27,2020-09-01,133,133,"Intimidation"
2020-10-18,2020-10-01,131,131,"Assault"
2020-10-18,2020-10-01,290,290,"Vandalism"
2020-10-29,2020-10-01,133,133,"Intimidation"
2020-01-20,2020-01-01,133,133,"Intimidation"
2020-03-21,2020-03-01,236,236,"Theft/Fraud/Burglary"
2020-12-17,2020-12-01,352,352,"Drug/Weapons Violation"
2020-10-21,2020-10-01,131,131,"Assault"
2020-04-20,2020-04-01,132,132,"Assault"
2020-08-22,2020-08-01,290,290,"Vandalism"
2020-11-30,2020-11-01,290,290,"Vandalism"
2020-08-23,2020-08-01,351,351,"Drug/Weapons Violation"
2020-12-20,2020-12-01,131,131,"Assault"
2020-08-20,2020-08-01,220,220,"Theft/Fraud/Burglary"
2020-03-20,2020-03-01,132,132,"Assault"
2020-04-20,2020-04-01,132,132,"Assault"
2020-11-30,2020-11-01,233,233,"Theft/Fraud/Burglary"
2020-10-20,2020-10-01,111,111,"Sexual Offense"
2020-12-29,2020-12-01,132,132,"Assault"
2020-11-15,2020-11-01,233,233,"Theft/Fraud/Burglary"
2020-12-20,2020-12-01,132,132,"Assault"
2020-12-18,2020-12-01,133,133,"Intimidation"
2020-12-14,2020-12-01,133,133,"Intimidation"
2020-08-19,2020-08-01,234,234,"Theft/Fraud/Burglary"
2020-06-15,2020-06-01,280,280,"Theft/Fraud/Burglary"
2020-03-21,2020-03-01,132,132,"Assault"
2020-06-20,2020-06-01,132,132,"Assault"
2020-07-20,2020-07-01,236,236,"Theft/Fraud/Burglary"
2020-11-20,2020-11-01,240,240,"Theft/Fraud/Burglary"
2020-02-20,2020-02-01,238,238,"Theft/Fraud/Burglary"
2020-03-20,2020-03-01,263,263,"Theft/Fraud/Burglary"
2020-04-19,2020-04-01,240,240,"Theft/Fraud/Burglary"
2020-02-27,2020-02-01,132,132,"Assault"
2020-05-23,2020-05-01,133,133,"Intimidation"
2020-06-22,2020-06-01,133,133,"Intimidation"
2020-03-21,2020-03-01,220,220,"Theft/Fraud/Burglary"
2020-09-17,2020-09-01,290,290,"Vandalism"
2020-07-20,2020-07-01,133,133,"Intimidation"
2020-02-20,2020-02-01,290,290,"Vandalism"
2020-02-20,2020-02-01,133,133,"Intimidation"
2020-11-30,2020-11-01,240,240,"Theft/Fraud/Burglary"
2020-01-20,2020-01-01,132,132,"Assault"
2020-05-30,2020-05-01,220,220,"Theft/Fraud/Burglary"
2020-10-20,2020-10-01,261,261,"Theft/Fraud/Burglary"
2020-11-20,2020-11-01,233,233,"Theft/Fraud/Burglary"
2020-04-20,2020-04-01,351,351,"Drug/Weapons Violation"
2020-07-20,2020-07-01,250,250,"Theft/Fraud/Burglary"
2020-11-20,2020-11-01,351,351,"Drug/Weapons Violation"
2020-01-25,2020-01-01,351,351,"Drug/Weapons Violation"
2019-01-22,2019-01-01,351,351,"Drug/Weapons Violation"
2019-05-17,2019-05-01,238,238,"Theft/Fraud/Burglary"
2019-02-21,2019-02-01,132,132,"Assault"
2019-06-22,2019-06-01,132,132,"Assault"
2019-06-17,2019-06-01,290,290,"Vandalism"
2019-06-22,2019-06-01,132,132,"Assault"
2019-06-20,2019-06-01,132,132,"Assault"
2019-10-20,2019-10-01,261,261,"Theft/Fraud/Burglary"
2019-09-20,2019-09-01,133,133,"Intimidation"
2019-01-16,2019-01-01,132,132,"Assault"
2019-03-20,2019-03-01,131,131,"Assault"
2019-10-20,2019-10-01,132,132,"Assault"
2019-03-20,2019-03-01,236,236,"Theft/Fraud/Burglary"
2019-10-20,2019-10-01,351,351,"Drug/Weapons Violation"
2019-01-20,2019-01-01,120,120,"Theft/Fraud/Burglary"
2019-01-20,2019-01-01,351,351,"Drug/Weapons Violation"
2019-02-20,2019-02-01,351,351,"Drug/Weapons Violation"
2019-01-28,2019-01-01,132,132,"Assault"
2019-01-25,2019-01-01,240,240,"Theft/Fraud/Burglary"
2019-02-20,2019-02-01,351,351,"Drug/Weapons Violation"
2019-01-20,2019-01-01,351,351,"Drug/Weapons Violation"
2019-06-27,2019-06-01,133,133,"Intimidation"
2019-01-17,2019-01-01,351,351,"Drug/Weapons Violation"
2019-10-18,2019-10-01,132,132,"Assault"
2019-06-24,2019-06-01,131,131,"Assault"
2019-06-18,2019-06-01,133,133,"Intimidation"
2019-12-31,2019-12-01,133,133,"Intimidation"
2019-04-21,2019-04-01,131,131,"Assault"
2019-11-20,2019-11-01,133,133,"Intimidation"
2019-11-20,2019-11-01,132,132,"Assault"
2019-05-14,2019-05-01,133,133,"Intimidation"
2019-07-20,2019-07-01,133,133,"Intimidation"
2019-12-14,2019-12-01,133,133,"Intimidation"
2019-08-20,2019-08-01,132,132,"Assault"
2019-04-19,2019-04-01,132,132,"Assault"
2019-04-26,2019-04-01,120,120,"Theft/Fraud/Burglary"
2019-09-24,2019-09-01,133,133,"Intimidation"
2019-03-20,2019-03-01,351,351,"Drug/Weapons Violation"
2019-08-22,2019-08-01,351,351,"Drug/Weapons Violation"
2019-07-27,2019-07-01,131,131,"Assault"
2019-05-16,2019-05-01,133,133,"Intimidation"
2019-03-22,2019-03-01,131,131,"Assault"
2019-08-20,2019-08-01,290,290,"Vandalism"
2019-05-18,2019-05-01,233,233,"Theft/Fraud/Burglary"
2019-11-22,2019-11-01,133,133,"Intimidation"
2019-12-18,2019-12-01,131,131,"Assault"
2019-07-20,2019-07-01,133,133,"Intimidation"
2019-02-20,2019-02-01,234,234,"Theft/Fraud/Burglary"
2019-12-20,2019-12-01,132,132,"Assault"
